gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,HasInternet,is_DSL,is_Fiber_optic,MultipleLines_New,Contract_New,OnlineSecurity_New,OnlineBackup_New,DeviceProtection_New,TechSupport_New,StreamingTV_New,StreamingMovies_New,num_services,LTV_Estimate,AVG_Charge_Per_Service,Family_Flag
0,0,1,0,65,1,0,19.35,1319.95,0,0,0,1,2,0,0,0,0,0,0,0,1257.75,19350.0,0
1,0,0,0,7,1,1,18.95,130.55,0,0,0,1,0,0,0,0,0,0,0,0,132.65,18950.0,0
1,0,0,0,42,1,1,100.3,4222.95,1,0,1,2,0,0,0,0,1,1,1,4,4212.599999999999,25.07,0
1,0,0,0,21,1,1,20.35,422.7,0,0,0,1,1,0,0,0,0,0,0,0,427.35,20350.0,0
1,0,1,0,1,1,0,76.2,76.2,1,0,1,1,0,0,0,1,0,0,0,2,76.2,38.08,0
1,0,0,0,72,0,1,65.6,4566.5,1,1,0,0,2,1,1,1,1,1,1,7,4723.2,9.37,0
0,0,0,0,3,0,0,35.2,108.95,1,1,0,0,0,0,0,0,0,1,0,2,105.60000000000001,17.59,0
0,0,1,1,67,0,0,36.15,2434.45,1,1,0,0,2,1,1,0,0,0,0,3,2422.0499999999997,12.05,1
0,0,0,0,1,1,1,80.25,80.25,1,0,1,1,0,0,0,0,0,1,0,2,80.25,40.1,0
0,0,1,0,7,1,1,86.25,587.1,1,0,1,1,0,0,0,1,0,1,0,3,603.75,28.74,0
1,0,0,0,56,1,1,81.8,4534.45,1,1,0,1,2,0,1,1,1,1,1,6,4580.8,13.63,0
1,0,1,0,49,1,1,94.8,4690.65,1,0,1,1,2,0,1,0,0,1,1,4,4645.2,23.69,0
0,0,0,0,13,0,1,31.65,389.95,1,1,0,0,0,0,1,0,0,0,0,2,411.45,15.82,0
1,1,0,0,1,1,1,70.05,70.05,1,0,1,1,0,0,0,0,0,0,0,1,70.05,69.98,0
1,0,0,0,38,1,1,95.1,3691.2,1,0,1,2,0,0,1,1,0,0,1,4,3613.7999999999997,23.77,0
1,1,0,0,65,1,1,109.05,7108.2,1,0,1,2,2,1,0,1,1,1,1,6,7088.25,18.17,0
1,0,1,1,38,1,0,25.05,963.95,0,0,0,2,2,0,0,0,0,0,0,0,951.9,25050.0,1
0,0,0,0,65,1,1,89.85,5844.65,1,0,1,2,1,1,1,0,1,0,0,4,5840.25,22.46,0
1,0,1,0,63,1,0,80.0,5040.2,1,1,0,2,1,1,1,1,1,0,1,6,5040.0,13.33,0
0,1,0,0,72,1,0,111.65,7943.45,1,0,1,2,2,0,1,1,1,1,1,6,8038.8,18.61,0
0,0,0,0,40,1,1,93.4,3756.4,1,0,1,2,0,0,1,1,0,1,0,4,3736.0,23.34,0
0,0,0,0,13,1,1,81.15,952.3,1,0,1,1,0,0,1,1,0,0,0,3,1054.95,27.04,0
1,0,0,0,1,1,0,20.25,20.25,0,0,0,1,0,0,0,0,0,0,0,0,20.25,20250.0,0
0,0,0,0,36,1,0,19.55,620.75,0,0,0,1,1,0,0,0,0,0,0,0,703.8000000000001,19550.0,0
0,0,1,0,6,1,1,90.75,512.25,1,0,1,2,0,0,1,0,0,0,1,3,544.5,30.24,0
1,0,1,1,28,1,0,92.2,2568.15,1,0,1,2,1,0,0,0,0,1,1,3,2581.6,30.72,1
0,0,0,0,1,1,1,95.85,95.85,1,0,1,1,0,0,0,0,1,1,1,4,95.85,23.96,0
0,1,1,1,32,1,1,91.35,2896.55,1,0,1,2,0,0,0,1,0,1,0,3,2923.2,30.44,1
0,0,1,1,55,1,0,19.15,998.1,0,0,0,1,1,0,0,0,0,0,0,0,1053.25,19150.0,1
1,0,1,1,53,1,0,71.85,3827.9,1,1,0,2,0,1,0,0,1,0,1,4,3808.0499999999997,17.96,1
1,0,1,0,58,1,0,100.35,5681.1,1,0,1,2,1,0,0,1,0,1,1,4,5820.299999999999,25.08,0
0,0,0,0,50,1,1,82.5,4179.1,1,1,0,2,1,1,0,1,1,1,1,6,4125.0,13.75,0
1,1,0,0,19,1,1,95.9,1777.9,1,0,1,1,0,0,0,1,0,1,1,4,1822.1000000000001,23.97,0
0,0,0,0,5,1,1,85.2,474.8,1,0,1,2,0,0,0,0,0,1,0,2,426.0,42.58,0
1,0,0,0,4,1,1,19.95,59.25,0,0,0,1,0,0,0,0,0,0,0,0,79.8,19950.0,0
1,0,0,0,35,0,0,49.2,1701.65,1,1,0,0,0,0,0,1,0,1,1,4,1722.0,12.3,0
0,0,1,0,71,1,1,24.65,1710.15,0,0,0,2,2,0,0,0,0,0,0,0,1750.1499999999999,24650.0,0
0,0,0,0,2,1,0,50.95,123.05,1,1,0,1,0,1,0,0,0,0,0,2,101.9,25.46,0
0,0,0,1,34,1,1,105.35,3688.6,1,0,1,1,0,1,1,1,0,1,1,6,3581.8999999999996,17.56,0
1,1,0,0,1,1,1,74.4,74.4,1,0,1,2,0,0,0,0,0,0,0,1,74.4,74.33,0
0,0,1,1,20,1,0,20.35,442.6,0,0,0,1,0,0,0,0,0,0,0,0,407.0,20350.0,1
1,0,1,0,20,1,1,89.0,1820.45,1,0,1,1,0,0,0,0,0,1,1,3,1780.0,29.66,0
0,0,0,0,50,1,1,19.35,1033.0,0,0,0,1,1,0,0,0,0,0,0,0,967.5000000000001,19350.0,0
0,1,0,0,8,1,0,19.65,164.3,0,0,0,1,0,0,0,0,0,0,0,0,157.2,19650.0,0
0,0,1,0,32,1,0,19.4,641.15,0,0,0,1,0,0,0,0,0,0,0,0,620.8,19400.0,0
0,0,0,0,44,1,1,88.15,3973.2,1,0,1,1,0,0,1,1,0,1,0,4,3878.6000000000004,22.03,0
0,0,1,1,43,0,1,60.4,2640.55,1,1,0,0,1,1,0,1,1,1,1,6,2597.2,10.06,1
0,1,1,0,14,1,1,100.2,1369.8,1,0,1,2,0,0,1,0,0,1,1,4,1402.8,25.04,0
1,0,0,0,49,1,1,74.6,3720.35,1,0,1,2,0,0,0,0,0,0,0,1,3655.3999999999996,74.53,0
0,1,1,1,47,1,0,70.55,3309.25,1,0,1,1,0,0,0,0,0,0,0,1,3315.85,70.48,1
1,0,0,0,13,1,0,100.75,1313.25,1,0,1,2,0,0,0,0,1,1,1,4,1309.75,25.18,0
1,0,1,0,67,1,0,109.9,7332.4,1,0,1,2,1,1,1,1,0,1,1,6,7363.3,18.31,0
1,0,1,0,57,1,1,103.05,5925.75,1,0,1,2,0,1,1,1,1,1,0,6,5873.849999999999,17.17,0
0,1,1,0,35,1,0,102.05,3452.55,1,0,1,2,0,0,0,1,0,1,1,4,3571.75,25.51,0
1,0,1,0,50,1,0,20.55,1067.65,0,0,0,1,2,0,0,0,0,0,0,0,1027.5,20550.0,0
1,1,0,0,47,1,0,59.6,2754.0,1,1,0,2,2,0,1,0,1,0,0,3,2801.2000000000003,19.86,0
1,0,0,0,31,1,1,94.5,2979.2,1,0,1,1,0,0,1,0,0,1,1,4,2929.5,23.62,0
1,0,1,1,29,1,1,70.75,1974.8,1,0,1,1,0,0,0,0,0,0,0,1,2051.75,70.68,1
1,0,1,0,63,1,0,99.7,6330.4,1,0,1,1,2,1,0,1,0,1,1,5,6281.1,19.94,0
0,0,0,0,50,1,1,89.7,4304.5,1,0,1,1,2,0,0,1,1,0,1,4,4485.0,22.42,0
0,0,0,0,38,1,0,68.15,2656.3,1,1,0,2,0,0,1,0,1,0,1,4,2589.7000000000003,17.03,0
1,0,1,0,21,1,1,106.1,2249.95,1,0,1,2,0,0,0,1,1,1,1,5,2228.1,21.22,0
1,0,1,0,1,1,0,70.0,70.0,1,0,1,1,0,0,0,0,0,0,0,1,70.0,69.93,0
1,0,1,0,67,1,0,24.85,1583.5,0,0,0,2,2,0,0,0,0,0,0,0,1664.95,24850.0,0
0,0,0,0,66,1,1,103.1,6595.0,1,0,1,2,0,1,1,1,1,0,1,6,6804.599999999999,17.18,0
0,0,1,1,5,1,1,85.75,470.95,1,0,1,1,0,0,0,0,1,1,0,3,428.75,28.57,1
1,0,0,0,7,0,1,24.35,150.85,1,1,0,0,1,0,0,0,0,0,0,1,170.45000000000002,24.33,0
1,0,1,0,72,1,0,78.85,5763.15,1,1,0,2,2,1,1,1,1,0,1,6,5677.2,13.14,0
0,0,1,1,36,1,0,20.25,717.95,0,0,0,1,2,0,0,0,0,0,0,0,729.0,20250.0,1
1,0,0,0,15,1,1,26.35,378.6,0,0,0,2,0,0,0,0,0,0,0,0,395.25,26350.0,0
0,0,1,1,23,1,1,19.65,451.55,0,0,0,1,2,0,0,0,0,0,0,0,451.95,19650.0,1
1,0,1,1,7,0,0,58.85,465.7,1,1,0,0,0,1,1,1,0,1,1,6,411.95,9.81,1
0,0,0,0,10,1,1,60.95,629.55,1,1,0,1,0,0,0,0,1,0,1,3,609.5,20.31,0
1,0,1,1,64,1,1,73.05,4688.65,1,1,0,1,1,1,0,1,0,1,1,5,4675.2,14.61,1
0,0,0,0,56,1,1,60.25,3282.75,1,1,0,1,1,1,0,1,1,0,0,4,3374.0,15.06,0
1,0,1,1,58,1,0,82.5,4828.05,1,0,1,2,2,0,0,0,0,1,0,2,4785.0,41.23,1
1,0,0,0,10,0,1,33.9,298.45,1,1,0,0,0,0,0,0,0,0,1,2,339.0,16.94,0
0,0,0,0,52,1,1,80.95,4233.95,1,1,0,2,2,0,0,1,1,1,1,5,4209.400000000001,16.19,0
0,0,0,0,6,1,1,98.15,567.45,1,0,1,1,0,1,1,1,1,0,1,6,588.9000000000001,16.36,0
0,0,1,1,49,1,0,79.3,3902.45,1,1,0,2,2,0,1,0,1,1,1,5,3885.7,15.86,1
0,0,0,0,19,1,1,56.1,1033.9,1,1,0,2,0,0,0,1,0,0,0,2,1065.9,28.04,0
0,0,0,0,3,1,0,19.75,58.85,0,0,0,1,0,0,0,0,0,0,0,0,59.25,19750.0,0
0,1,0,0,2,1,1,79.75,159.4,1,0,1,1,0,0,0,0,0,0,1,2,159.5,39.86,0
0,0,0,0,16,1,0,20.1,296.15,0,0,0,1,1,0,0,0,0,0,0,0,321.6,20100.0,0
0,0,1,1,15,1,0,46.3,639.45,1,1,0,1,0,0,0,0,0,0,0,1,694.5,46.25,1
0,0,0,0,54,1,1,103.95,5639.05,1,0,1,2,1,1,0,1,0,1,1,5,5613.3,20.79,0
0,0,1,0,18,1,1,88.85,1594.75,1,0,1,2,0,0,0,0,1,1,0,3,1599.3,29.61,0
1,0,1,1,63,1,0,74.5,4674.55,1,1,0,1,2,1,1,1,1,1,0,6,4693.5,12.41,1
1,0,1,0,71,1,0,84.2,5956.85,1,1,0,2,2,0,1,1,1,1,1,6,5978.2,14.03,0
0,1,1,0,37,1,0,90.0,3371.75,1,0,1,1,0,0,0,1,1,1,0,4,3330.0,22.49,0
1,1,1,0,61,1,1,98.3,6066.55,1,0,1,2,1,0,1,1,1,1,0,5,5996.3,19.66,0
1,0,1,0,58,1,0,60.3,3563.8,1,1,0,1,1,1,1,1,0,0,0,4,3497.3999999999996,15.07,0
0,0,1,0,12,1,1,51.25,612.1,1,1,0,1,0,0,1,0,0,0,0,2,615.0,25.61,0
0,0,0,0,8,1,0,20.85,161.65,0,0,0,1,2,0,0,0,0,0,0,0,166.8,20850.0,0
0,0,0,0,72,1,1,101.3,7261.25,1,0,1,2,2,1,1,1,0,1,0,5,7293.599999999999,20.26,0
0,0,0,1,19,1,0,20.5,398.55,0,0,0,1,2,0,0,0,0,0,0,0,389.5,20500.0,0
0,1,1,0,37,1,1,76.5,2868.15,1,0,1,2,0,0,0,0,0,0,0,1,2830.5,76.42,0
1,0,1,1,10,1,1,20.05,218.5,0,0,0,1,0,0,0,0,0,0,0,0,200.5,20050.0,1
1,0,1,0,65,1,1,99.35,6347.55,1,0,1,2,2,1,1,1,0,1,0,5,6457.75,19.87,0
1,0,1,0,1,1,1,84.8,84.8,1,0,1,1,0,0,0,0,1,1,0,3,84.8,28.26,0
0,0,1,1,6,1,1,80.5,502.85,1,0,1,2,0,0,0,0,1,0,0,2,483.0,40.23,1
0,0,1,1,72,1,1,108.65,7726.35,1,0,1,1,2,1,1,1,1,1,1,7,7822.8,15.52,1
1,0,0,0,10,1,1,45.8,436.2,1,1,0,1,0,0,0,0,0,0,0,1,458.0,45.75,0
0,0,0,0,52,1,1,111.25,5916.45,1,0,1,2,1,1,1,0,1,1,1,6,5785.0,18.54,0
1,0,0,0,66,1,0,89.4,5976.9,1,0,1,2,0,0,1,0,0,0,1,3,5900.400000000001,29.79,0
0,0,1,1,69,1,1,108.75,7493.05,1,0,1,2,1,0,1,1,1,1,1,6,7503.75,18.12,1
0,0,0,0,1,1,1,20.25,20.25,0,0,0,1,0,0,0,0,0,0,0,0,20.25,20250.0,0
0,0,1,1,46,1,0,19.4,958.15,0,0,0,1,2,0,0,0,0,0,0,0,892.4,19400.0,1
1,0,1,1,37,1,1,62.8,2278.75,1,1,0,2,2,1,0,1,1,0,0,4,2323.6,15.7,1
1,0,1,0,35,1,1,75.2,2576.2,1,0,1,2,0,0,0,0,0,0,0,1,2632.0,75.12,0
0,0,0,0,15,1,1,48.8,720.1,1,1,0,2,0,0,0,0,0,0,0,1,732.0,48.75,0
1,0,1,0,60,1,1,109.45,6572.85,1,0,1,2,0,1,0,1,1,1,1,6,6567.0,18.24,0
0,0,1,1,48,1,1,105.25,4997.5,1,0,1,2,0,1,1,0,0,1,1,5,5052.0,21.05,1
1,0,0,0,13,1,1,20.4,251.65,0,0,0,1,0,0,0,0,0,0,0,0,265.2,20400.0,0
1,0,1,1,40,1,1,74.55,3015.75,1,1,0,2,0,0,0,1,0,1,1,4,2982.0,18.63,1
1,0,0,0,1,1,0,20.3,20.3,0,0,0,1,0,0,0,0,0,0,0,0,20.3,20300.0,0
1,0,0,0,1,1,1,19.3,19.3,0,0,0,1,0,0,0,0,0,0,0,0,19.3,19300.0,0
0,0,1,0,65,1,1,59.8,3808.2,1,1,0,1,2,0,0,0,1,1,0,3,3887.0,19.93,0
0,0,0,1,4,1,1,20.4,84.75,0,0,0,1,1,0,0,0,0,0,0,0,81.6,20400.0,0
0,0,1,1,61,1,1,24.2,1445.2,0,0,0,2,2,0,0,0,0,0,0,0,1476.2,24200.0,1
1,0,0,0,59,1,0,25.0,1510.5,0,0,0,2,2,0,0,0,0,0,0,0,1475.0,25000.0,0
0,0,1,1,47,1,1,85.3,4107.25,1,1,0,2,2,1,1,0,1,1,1,6,4009.1,14.21,1
0,0,1,1,37,1,1,24.1,861.85,0,0,0,2,2,0,0,0,0,0,0,0,891.7,24100.0,1
0,0,1,1,72,1,1,79.5,5661.7,1,1,0,2,2,1,1,1,1,0,1,6,5724.0,13.25,1
0,0,0,0,38,1,1,83.9,3233.6,1,0,1,1,0,1,1,1,0,0,0,4,3188.2000000000003,20.97,0
1,0,1,1,56,1,1,85.85,4793.8,1,0,1,1,1,0,1,1,1,0,0,4,4807.599999999999,21.46,1
0,0,1,0,57,1,1,109.4,6252.7,1,0,1,2,1,0,1,1,1,1,1,6,6235.8,18.23,0
0,0,0,0,46,1,0,44.95,2168.9,1,1,0,1,0,0,0,0,0,0,0,1,2067.7000000000003,44.91,0
1,0,1,1,57,1,1,74.3,4018.35,1,0,1,2,0,0,0,0,0,0,0,1,4235.099999999999,74.23,1
1,0,1,0,54,1,1,104.3,5278.15,1,0,1,2,0,0,1,1,0,1,1,5,5632.2,20.86,0
1,1,0,0,2,1,0,19.2,37.2,0,0,0,1,0,0,0,0,0,0,0,0,38.4,19200.0,0
0,0,0,0,35,1,0,20.75,700.45,0,0,0,1,1,0,0,0,0,0,0,0,726.25,20750.0,0
1,0,0,0,69,1,1,81.5,5553.25,1,1,0,2,2,1,1,1,1,0,1,6,5623.5,13.58,0
1,0,1,1,72,1,0,114.55,8306.05,1,0,1,2,2,1,1,1,1,1,1,7,8247.6,16.36,1
1,0,0,0,3,1,0,60.65,196.9,1,1,0,1,0,0,0,0,1,0,1,3,181.95,20.21,0
1,0,1,1,25,1,1,90.4,2178.6,1,0,1,1,1,0,0,0,0,1,1,3,2260.0,30.12,1
1,0,0,0,15,1,0,85.3,1219.85,1,0,1,1,0,0,0,1,0,1,0,3,1279.5,28.42,0
0,0,1,0,33,1,1,103.75,3361.05,1,0,1,1,1,1,0,1,1,1,1,6,3423.75,17.29,0
1,0,0,0,43,0,0,44.15,1931.3,1,1,0,0,1,0,0,1,1,0,1,4,1898.45,11.03,0
1,0,0,1,13,1,1,78.3,1033.95,1,0,1,1,0,0,0,0,0,1,0,2,1017.9,39.13,0
